temperature_K	electron_density_cm-3	gas_pressure_dyn_cm-2	mass_density_g_cm-3	column_mass_g_cm-2
2.280099999999999909e+03	3.632000000000000000e+06	2.184000000000000108e-01	1.453304303685861007e-12	6.904960479999999734e-03
2.305000000000000000e+03	4.842000000000000000e+06	2.898999999999999910e-01	1.908357521999140950e-12	9.165495940000000646e-03
2.328699999999999818e+03	6.386000000000000000e+06	3.814000000000000168e-01	2.485331626350670428e-12	1.206156490000000019e-02
2.352500000000000000e+03	8.368000000000000000e+06	4.983000000000000207e-01	3.214479971856687254e-12	1.575882040000000164e-02
2.376300000000000182e+03	1.091000000000000000e+07	6.472999999999999865e-01	4.134145618018836361e-12	2.047359580000000095e-02
2.399800000000000182e+03	1.415000000000000000e+07	8.369999999999999662e-01	5.293806584525293007e-12	2.647491299999999922e-02
2.423300000000000182e+03	1.827000000000000000e+07	1.078000000000000069e+00	6.752537271614374254e-12	3.408927269999999926e-02
2.446400000000000091e+03	2.349000000000000000e+07	1.381999999999999895e+00	8.575887235970718080e-12	4.371278160000000024e-02
2.469300000000000182e+03	3.008000000000000000e+07	1.764999999999999902e+00	1.085216673711270896e-11	5.582650799999999691e-02
2.492099999999999909e+03	3.836000000000000000e+07	2.245000000000000107e+00	1.367874058036700213e-11	7.101346779999999359e-02
2.514699999999999818e+03	4.874000000000000000e+07	2.845000000000000195e+00	1.718087074331702942e-11	8.998186580000000490e-02
2.537400000000000091e+03	6.172000000000000000e+07	3.591000000000000192e+00	2.149460325778178034e-11	1.135885819999999935e-01
2.560000000000000000e+03	7.788000000000000000e+07	4.516000000000000014e+00	2.679623060064675422e-11	1.428596609999999989e-01
2.582699999999999818e+03	9.797000000000000000e+07	5.660000000000000142e+00	3.329351379370089175e-11	1.790330270000000112e-01
2.605300000000000182e+03	1.228000000000000000e+08	7.067000000000000171e+00	4.121492261611897509e-11	2.235676319999999884e-01
2.627900000000000091e+03	1.536000000000000000e+08	8.794999999999999929e+00	5.085879896422483672e-11	2.782079490000000099e-01
2.650400000000000091e+03	1.913000000000000000e+08	1.091000000000000014e+01	6.256301840996416516e-11	3.449832250000000045e-01
2.672699999999999818e+03	2.374000000000000000e+08	1.347000000000000064e+01	7.661063427375957111e-11	4.262613650000000032e-01
2.694599999999999909e+03	2.935000000000000000e+08	1.658999999999999986e+01	9.360523173013341177e-11	5.247491359999999494e-01
2.716099999999999909e+03	3.613000000000000000e+08	2.035000000000000142e+01	1.139329561410533468e-10	6.435902740000000177e-01
2.737300000000000182e+03	4.431000000000000000e+08	2.485999999999999943e+01	1.381328161073689119e-10	7.864436900000000286e-01
2.758400000000000091e+03	5.415000000000000000e+08	3.026999999999999957e+01	1.669414175564377851e-10	9.576579769999999936e-01
2.779300000000000182e+03	6.597000000000000000e+08	3.674000000000000199e+01	2.011446677527696440e-10	1.162291890000000105e+00
2.800199999999999818e+03	8.015000000000000000e+08	4.446000000000000085e+01	2.416480939987632475e-10	1.406297109999999906e+00
2.821099999999999909e+03	9.709000000000000000e+08	5.364000000000000057e+01	2.894499298058406684e-10	1.696572240000000065e+00
2.842000000000000000e+03	1.173000000000000000e+09	6.453000000000000114e+01	3.457348355180053511e-10	2.041184859999999990e+00
2.862599999999999909e+03	1.414000000000000000e+09	7.743999999999999773e+01	4.120226659481946252e-10	2.449292180000000041e+00
2.883599999999999909e+03	1.701000000000000000e+09	9.270000000000000284e+01	4.897424959004288574e-10	2.931853160000000180e+00
2.904599999999999909e+03	2.043000000000000000e+09	1.107000000000000028e+02	5.807563361739466972e-10	3.501675339999999803e+00
2.925599999999999909e+03	2.449000000000000000e+09	1.320000000000000000e+02	6.877124425614798570e-10	4.173254949999999575e+00
2.946699999999999818e+03	2.930000000000000000e+09	1.569000000000000057e+02	8.117994171588135047e-10	4.963540430000000114e+00
2.968000000000000000e+03	3.501000000000000000e+09	1.863000000000000114e+02	9.572542986748348456e-10	5.892208550000000322e+00
2.989400000000000091e+03	4.177000000000000000e+09	2.208000000000000114e+02	1.126710547615131070e-09	6.981694580000000094e+00
3.010800000000000182e+03	4.975000000000000000e+09	2.611000000000000227e+02	1.323256858411677267e-09	8.258766980000000757e+00
3.032599999999999909e+03	5.921000000000000000e+09	3.083999999999999773e+02	1.552166896067759631e-09	9.752869260000000651e+00
3.054400000000000091e+03	7.037000000000000000e+09	3.636000000000000227e+02	1.817444755896274459e-09	1.149996050000000025e+01
3.076800000000000182e+03	8.361000000000000000e+09	4.280000000000000000e+02	2.124337585639849043e-09	1.353835909999999920e+01
3.099500000000000000e+03	9.929000000000000000e+09	5.031999999999999886e+02	2.479951422706365827e-09	1.591683820000000082e+01
3.122900000000000091e+03	1.179000000000000000e+10	5.907000000000000455e+02	2.890061117378414697e-09	1.868679459999999892e+01
3.148000000000000000e+03	1.405000000000000000e+10	6.925000000000000000e+02	3.361658478566761526e-09	2.190874919999999904e+01
3.175900000000000091e+03	1.683000000000000000e+10	8.105000000000000000e+02	3.900006948340568900e-09	2.564460270000000008e+01
3.203599999999999909e+03	2.011000000000000000e+10	9.471000000000000227e+02	4.518103639998144244e-09	2.995963730000000069e+01
3.229400000000000091e+03	2.385000000000000000e+10	1.105000000000000000e+03	5.230033698156321455e-09	3.495186089999999979e+01
3.256699999999999818e+03	2.830000000000000000e+10	1.287000000000000000e+03	6.040878314666254098e-09	4.071855039999999804e+01
3.292400000000000091e+03	3.426000000000000000e+10	1.496000000000000000e+03	6.943475683102305611e-09	4.733505009999999658e+01
3.333199999999999818e+03	4.192000000000000000e+10	1.733000000000000000e+03	7.940740995153422987e-09	5.482586539999999786e+01
3.380199999999999818e+03	5.191000000000000000e+10	1.998000000000000000e+03	9.020865216696152849e-09	6.320064099999999740e+01
3.434500000000000000e+03	6.516000000000000000e+10	2.289000000000000000e+03	1.016167702697796616e-08	7.240034389999999576e+01
3.496900000000000091e+03	8.294000000000000000e+10	2.603000000000000000e+03	1.133726933166284995e-08	8.231498059999999839e+01
3.568300000000000182e+03	1.070000000000000000e+11	2.934000000000000000e+03	1.250921781371866770e-08	9.278220460000000003e+01
3.649199999999999818e+03	1.398000000000000000e+11	3.278000000000000000e+03	1.365134137921057116e-08	1.036486940000000061e+02
3.740900000000000091e+03	1.842000000000000000e+11	3.630000000000000000e+03	1.473227536955482440e-08	1.147787629999999979e+02
3.844599999999999909e+03	2.436000000000000000e+11	3.988000000000000000e+03	1.573542943418920065e-08	1.261124530000000021e+02
3.960800000000000182e+03	3.207000000000000000e+11	4.354000000000000000e+03	1.666416955613815310e-08	1.376940569999999866e+02
4.090400000000000091e+03	4.166000000000000000e+11	4.735000000000000000e+03	1.753875548677157435e-08	1.497439119999999946e+02
4.241100000000000364e+03	5.337000000000000000e+11	5.144000000000000000e+03	1.836863895871208504e-08	1.626574300000000051e+02
4.406600000000000364e+03	6.636000000000000000e+11	5.598000000000000000e+03	1.923277440743371181e-08	1.770222300000000075e+02
4.594199999999999818e+03	8.061000000000000000e+11	6.128000000000000000e+03	2.018912799176086827e-08	1.937859870000000058e+02
4.806500000000000000e+03	9.712000000000000000e+11	6.768000000000000000e+03	2.130937311522117933e-08	2.140519679999999880e+02
5.048199999999999818e+03	1.236000000000000000e+12	7.536000000000000000e+03	2.258894736989326383e-08	2.383245650000000069e+02
5.325300000000000182e+03	1.873000000000000000e+12	8.367000000000000000e+03	2.377229607642691374e-08	2.646359550000000240e+02
5.627300000000000182e+03	3.409000000000000000e+12	9.118000000000000000e+03	2.451181588283482498e-08	2.884025899999999751e+02
5.991000000000000000e+03	7.355000000000000000e+12	9.686000000000000000e+03	2.444920946189022584e-08	3.063674819999999954e+02
6.359699999999999818e+03	1.547000000000000000e+13	1.008000000000000000e+04	2.395106575407460979e-08	3.189835390000000075e+02
6.757300000000000182e+03	3.223000000000000000e+13	1.036000000000000000e+04	2.313175155285010803e-08	3.276131149999999934e+02
7.064699999999999818e+03	5.407000000000000000e+13	1.056000000000000000e+04	2.250498187472129219e-08	3.341029839999999922e+02
7.312800000000000182e+03	7.976000000000000000e+13	1.073000000000000000e+04	2.203572113488878254e-08	3.396426619999999730e+02
7.501399999999999636e+03	1.057000000000000000e+14	1.090000000000000000e+04	2.176644094976757740e-08	3.449213100000000054e+02
