temperature_K	electron_density_cm-3	gas_pressure_dyn_cm-2	mass_density_g_cm-3	column_mass_g_cm-2
2.581400000000000091e+03	4.483000000000000000e+08	3.682999999999999829e+01	2.209912479133565539e-10	3.666221030000000095e-04
2.596099999999999909e+03	5.693000000000000000e+08	4.777000000000000313e+01	2.859247236601652980e-10	4.756992540000000154e-04
2.611900000000000091e+03	7.090000000000000000e+08	6.040999999999999659e+01	3.603706017826205964e-10	6.017481589999999466e-04
2.627300000000000182e+03	8.671000000000000000e+08	7.479999999999999716e+01	4.447057694548064305e-10	7.454669590000000384e-04
2.641800000000000182e+03	1.045000000000000000e+09	9.112000000000000455e+01	5.400799509346816717e-10	9.086343749999999803e-04
2.656500000000000000e+03	1.251000000000000000e+09	1.100999999999999943e+02	6.504868473929894667e-10	1.098397349999999991e-03
2.671300000000000182e+03	1.492000000000000000e+09	1.324000000000000057e+02	7.797237637386139750e-10	1.321142260000000021e-03
2.686400000000000091e+03	1.776000000000000000e+09	1.586999999999999886e+02	9.315060271936165996e-10	1.584230280000000022e-03
2.701599999999999909e+03	2.111000000000000000e+09	1.899000000000000057e+02	1.111015495456925313e-09	1.895929350000000093e-03
2.717099999999999909e+03	2.506000000000000000e+09	2.269000000000000057e+02	1.323097154294250281e-09	2.266234700000000022e-03
2.732800000000000182e+03	2.976000000000000000e+09	2.710000000000000000e+02	1.575108233161027829e-09	2.706884770000000072e-03
2.748599999999999909e+03	3.531000000000000000e+09	3.236000000000000227e+02	1.874948850845441523e-09	3.231731009999999800e-03
2.764699999999999818e+03	4.190000000000000000e+09	3.861000000000000227e+02	2.230012124357437095e-09	3.857082730000000077e-03
2.780699999999999818e+03	4.970000000000000000e+09	4.606999999999999886e+02	2.653244976190933457e-09	4.601851030000000432e-03
2.796699999999999818e+03	5.890000000000000000e+09	5.492999999999999545e+02	3.155023833338393036e-09	5.487982199999999824e-03
2.812699999999999818e+03	6.977000000000000000e+09	6.547999999999999545e+02	3.751735650895888272e-09	6.541700180000000267e-03
2.828400000000000091e+03	8.254000000000000000e+09	7.800000000000000000e+02	4.459970943817651015e-09	7.792933049999999952e-03
2.843699999999999818e+03	9.752000000000000000e+09	9.283999999999999773e+02	5.300371661817953894e-09	9.276165319999999867e-03
2.858900000000000091e+03	1.151000000000000000e+10	1.104000000000000000e+03	6.295058725170835524e-09	1.103198340000000055e-02
2.873599999999999909e+03	1.356000000000000000e+10	1.312000000000000000e+03	7.476424424413089176e-09	1.310862699999999943e-02
2.888000000000000000e+03	1.595000000000000000e+10	1.557000000000000000e+03	8.870910693729934708e-09	1.556184820000000059e-02
2.902000000000000000e+03	1.873000000000000000e+10	1.847000000000000000e+03	1.052746403636284276e-08	1.845827070000000125e-02
2.915500000000000000e+03	2.197000000000000000e+10	2.189000000000000000e+03	1.249009990556431668e-08	2.187505530000000142e-02
2.928599999999999909e+03	2.574000000000000000e+10	2.592000000000000000e+03	1.481419513308656159e-08	2.590477009999999844e-02
2.941400000000000091e+03	3.012000000000000000e+10	3.068000000000000000e+03	1.757389157187298812e-08	3.065725119999999915e-02
2.953800000000000182e+03	3.520000000000000000e+10	3.629000000000000000e+03	2.084723481888105598e-08	3.626436110000000324e-02
2.966099999999999909e+03	4.113000000000000000e+10	4.292000000000000000e+03	2.473779172283112558e-08	4.288785509999999690e-02
2.977900000000000091e+03	4.801000000000000000e+10	5.076000000000000000e+03	2.937725152995441496e-08	5.071821459999999865e-02
2.989300000000000182e+03	5.601000000000000000e+10	6.002000000000000000e+03	3.490465027513714769e-08	5.998693199999999975e-02
3.000500000000000000e+03	6.532000000000000000e+10	7.099000000000000000e+03	4.150827113256166925e-08	7.097885769999999483e-02
3.011599999999999909e+03	7.621000000000000000e+10	8.400000000000000000e+03	4.940633030605865154e-08	8.400599089999999380e-02
3.023000000000000000e+03	8.898000000000000000e+10	9.947000000000000000e+03	5.886052855724566663e-08	9.950347589999999909e-02
3.034300000000000182e+03	1.040000000000000000e+11	1.179000000000000000e+04	7.022609307307019999e-08	1.179855949999999987e-01
3.046400000000000091e+03	1.217000000000000000e+11	1.400000000000000000e+04	8.391704261522838181e-08	1.400694160000000021e-01
3.059300000000000182e+03	1.428000000000000000e+11	1.664000000000000000e+04	1.003329973510500437e-07	1.665675490000000092e-01
3.073900000000000091e+03	1.681000000000000000e+11	1.982000000000000000e+04	1.200775357299829522e-07	1.984332109999999982e-01
3.089900000000000091e+03	1.987000000000000000e+11	2.366000000000000000e+04	1.439001281784260337e-07	2.368815079999999906e-01
3.107500000000000000e+03	2.355000000000000000e+11	2.830000000000000000e+04	1.726024358260597124e-07	2.833327059999999897e-01
3.124000000000000000e+03	2.791000000000000000e+11	3.390000000000000000e+04	2.076290810418976793e-07	3.394592719999999786e-01
3.158400000000000091e+03	3.399000000000000000e+11	4.072000000000000000e+04	2.464170375783994167e-07	4.077166839999999959e-01
3.198000000000000000e+03	4.175000000000000000e+11	4.909000000000000000e+04	2.924126500894554012e-07	4.911971680000000173e-01
3.234800000000000182e+03	5.111000000000000000e+11	5.930000000000000000e+04	3.488965882925758920e-07	5.932541319999999896e-01
3.271400000000000091e+03	6.253000000000000000e+11	7.168000000000000000e+04	4.169185349797590723e-07	7.170189359999999956e-01
3.305800000000000182e+03	7.622000000000000000e+11	8.663000000000000000e+04	4.993451740931940571e-07	8.664575939999999976e-01
3.348599999999999909e+03	9.385000000000000000e+11	1.046000000000000000e+05	5.935221266760984357e-07	1.046600140000000012e+00
3.399099999999999909e+03	1.167000000000000000e+12	1.263000000000000000e+05	7.015566002373693284e-07	1.263669420000000043e+00
3.456099999999999909e+03	1.461000000000000000e+12	1.523000000000000000e+05	8.246189549921497543e-07	1.523640770000000089e+00
3.516500000000000000e+03	1.832000000000000000e+12	1.833000000000000000e+05	9.659333662820923078e-07	1.833246820000000055e+00
3.581000000000000000e+03	2.305000000000000000e+12	2.198000000000000000e+05	1.125046404706798607e-06	2.198694989999999905e+00
