temperature_K	electron_density_cm-3	gas_pressure_dyn_cm-2	mass_density_g_cm-3	column_mass_g_cm-2
2.173300000000000182e+03	1.914000000000000000e+06	1.348000000000000032e-01	9.433507985348457089e-13	4.263598530000000005e-03
2.196000000000000000e+03	2.551000000000000000e+06	1.787999999999999867e-01	1.238467157273588598e-12	5.656614419999999969e-03
2.218099999999999909e+03	3.368000000000000000e+06	2.351000000000000034e-01	1.612408201679639069e-12	7.435144579999999719e-03
2.240400000000000091e+03	4.424000000000000000e+06	3.073000000000000176e-01	2.086837892371770705e-12	9.700964689999999266e-03
2.262699999999999818e+03	5.784000000000000000e+06	3.997999999999999887e-01	2.688543034382616693e-12	1.259221209999999980e-02
2.284900000000000091e+03	7.534000000000000000e+06	5.184999999999999609e-01	3.453337845081785093e-12	1.626875180000000171e-02
2.306599999999999909e+03	9.778000000000000000e+06	6.703000000000000069e-01	4.423106118042891543e-12	2.091727649999999827e-02
2.328699999999999818e+03	1.262000000000000000e+07	8.632999999999999563e-01	5.643451450021039568e-12	2.684576610000000141e-02
2.350099999999999909e+03	1.621000000000000000e+07	1.106999999999999984e+00	7.172041487248117700e-12	3.436772190000000199e-02
2.371199999999999818e+03	2.071000000000000000e+07	1.413000000000000034e+00	9.075046881930557402e-12	4.396059539999999655e-02
2.391800000000000182e+03	2.630000000000000000e+07	1.796000000000000041e+00	1.143837863593834722e-11	5.594952680000000317e-02
2.412000000000000000e+03	3.324000000000000000e+07	2.271999999999999797e+00	1.435268487873616861e-11	7.096184899999999351e-02
2.431900000000000091e+03	4.181000000000000000e+07	2.861000000000000210e+00	1.793091177098186051e-11	8.954292240000000236e-02
2.451400000000000091e+03	5.232000000000000000e+07	3.588000000000000078e+00	2.231567411153299226e-11	1.124800170000000016e-01
2.470599999999999909e+03	6.519000000000000000e+07	4.480999999999999872e+00	2.766282636599621850e-11	1.406710670000000107e-01
2.489699999999999818e+03	8.093000000000000000e+07	5.575000000000000178e+00	3.416491980669221879e-11	1.752408699999999930e-01
2.508599999999999909e+03	1.001000000000000000e+08	6.913000000000000256e+00	4.206172136656395714e-11	2.174703199999999947e-01
2.527199999999999818e+03	1.234000000000000000e+08	8.541999999999999815e+00	5.161249930820150390e-11	2.689982089999999881e-01
2.545599999999999909e+03	1.516000000000000000e+08	1.051999999999999957e+01	6.313283204509046745e-11	3.315026770000000234e-01
2.563500000000000000e+03	1.854000000000000000e+08	1.291999999999999993e+01	7.703324709242937959e-11	4.069509989999999799e-01
2.581400000000000091e+03	2.262000000000000000e+08	1.581000000000000050e+01	9.365903386749311141e-11	4.981083090000000269e-01
2.599099999999999909e+03	2.752000000000000000e+08	1.930000000000000071e+01	1.136184009695184255e-10	6.087932860000000446e-01
2.616800000000000182e+03	3.341000000000000000e+08	2.350000000000000000e+01	1.374872700626148801e-10	7.414148619999999523e-01
