temperature_K	electron_density_cm-3	gas_pressure_dyn_cm-2	mass_density_g_cm-3	column_mass_g_cm-2
2.634900000000000091e+03	4.052000000000000000e+08	2.855999999999999872e+01	1.660377966919307373e-10	9.013969960000000059e-01
2.651500000000000000e+03	4.888000000000000000e+08	3.463000000000000256e+01	2.002137324476102885e-10	1.093760480000000035e+00
2.668900000000000091e+03	5.889000000000000000e+08	4.185999999999999943e+01	2.406000349468534153e-10	1.325451750000000040e+00
2.687199999999999818e+03	7.095000000000000000e+08	5.053999999999999915e+01	2.886940405927622988e-10	1.600446919999999995e+00
2.705199999999999818e+03	8.535000000000000000e+08	6.093999999999999773e+01	3.460262818488709537e-10	1.932433859999999948e+00
2.723099999999999909e+03	1.025000000000000000e+09	7.339000000000000057e+01	4.142910067170199013e-10	2.326885139999999907e+00
2.741000000000000000e+03	1.230000000000000000e+09	8.826000000000000512e+01	4.953718504026550685e-10	2.800023410000000101e+00
2.758699999999999818e+03	1.472000000000000000e+09	1.060000000000000000e+02	5.916317891348269457e-10	3.362634719999999966e+00
2.776199999999999818e+03	1.758000000000000000e+09	1.270000000000000000e+02	7.050181718308004289e-10	4.031519030000000114e+00
2.794000000000000000e+03	2.097000000000000000e+09	1.520000000000000000e+02	8.392070443508800534e-10	4.824571370000000137e+00
2.812699999999999818e+03	2.502000000000000000e+09	1.816999999999999886e+02	9.973770001995453267e-10	5.766077199999999792e+00
2.832300000000000182e+03	2.988000000000000000e+09	2.170999999999999943e+02	1.184399809599349638e-09	6.888799380000000028e+00
2.853099999999999909e+03	3.575000000000000000e+09	2.595000000000000000e+02	1.406402438866387988e-09	8.230787389999999704e+00
2.875099999999999909e+03	4.287000000000000000e+09	3.103000000000000114e+02	1.669895014951106198e-09	9.842345079999999413e+00
2.898500000000000000e+03	5.157000000000000000e+09	3.713999999999999773e+02	1.983589949395584252e-09	1.177564470000000085e+01
2.923400000000000091e+03	6.224000000000000000e+09	4.450000000000000000e+02	2.357354459870649577e-09	1.410330350000000088e+01
2.949900000000000091e+03	7.541000000000000000e+09	5.338999999999999773e+02	2.803628029863401336e-09	1.689098999999999862e+01
2.978000000000000000e+03	9.172000000000000000e+09	6.412000000000000455e+02	3.335764684250325954e-09	2.028615909999999900e+01
3.007599999999999909e+03	1.119000000000000000e+10	7.705000000000000000e+02	3.969057345969320851e-09	2.435333260000000166e+01
3.039000000000000000e+03	1.370000000000000000e+10	9.260000000000000000e+02	4.720148929231047186e-09	2.930112400000000150e+01
3.071400000000000091e+03	1.678000000000000000e+10	1.112000000000000000e+03	5.607356723386268388e-09	3.517046919999999943e+01
3.106900000000000091e+03	2.064000000000000000e+10	1.334000000000000000e+03	6.646549231426306341e-09	4.220828600000000108e+01
3.147500000000000000e+03	2.569000000000000000e+10	1.599000000000000000e+03	7.856203718882594228e-09	5.059205899999999900e+01
3.191599999999999909e+03	3.218000000000000000e+10	1.912000000000000000e+03	9.252496108584195895e-09	6.050673069999999854e+01
3.241300000000000182e+03	4.073000000000000000e+10	2.279000000000000000e+03	1.084130279158725868e-08	7.208806719999999757e+01
3.298099999999999909e+03	5.224000000000000000e+10	2.700000000000000000e+03	1.259652565960247213e-08	8.539889990000000353e+01
3.364500000000000000e+03	6.820000000000000000e+10	3.171000000000000000e+03	1.446582433248215566e-08	1.002879109999999940e+02
3.441099999999999909e+03	9.064000000000000000e+10	3.680000000000000000e+03	1.637051115444717145e-08	1.163661840000000041e+02
3.530800000000000182e+03	1.233000000000000000e+11	4.207000000000000000e+03	1.819072059882297245e-08	1.330034809999999936e+02
3.631000000000000000e+03	1.696000000000000000e+11	4.732000000000000000e+03	1.985008809860499202e-08	1.496168729999999982e+02
3.742300000000000182e+03	2.344000000000000000e+11	5.246000000000000000e+03	2.131177825534521678e-08	1.658613579999999956e+02
3.862199999999999818e+03	3.213000000000000000e+11	5.749000000000000000e+03	2.259865342182772283e-08	1.817587340000000040e+02
4.001599999999999909e+03	4.409000000000000000e+11	6.245000000000000000e+03	2.366743299473431561e-08	1.974127939999999910e+02
4.160800000000000182e+03	5.938000000000000000e+11	6.742000000000000000e+03	2.455377659676034147e-08	2.131515630000000101e+02
4.330300000000000182e+03	7.645000000000000000e+11	7.269000000000000000e+03	2.542318239411671494e-08	2.298094680000000096e+02
4.527000000000000000e+03	9.554000000000000000e+11	7.859000000000000000e+03	2.628201741530081535e-08	2.484982080000000053e+02
4.746300000000000182e+03	1.159000000000000000e+12	8.560000000000000000e+03	2.729666459882859493e-08	2.706760140000000092e+02
4.999699999999999818e+03	1.437000000000000000e+12	9.408000000000000000e+03	2.847565907792358363e-08	2.974870129999999904e+02
5.283000000000000000e+03	2.057000000000000000e+12	1.037000000000000000e+04	2.970063252284841535e-08	3.280827980000000252e+02
5.600699999999999818e+03	3.690000000000000000e+12	1.129000000000000000e+04	3.049657369865594051e-08	3.569904809999999884e+02
5.965600000000000364e+03	7.854000000000000000e+12	1.199000000000000000e+04	3.039674465430670227e-08	3.792460300000000188e+02
6.327000000000000000e+03	1.627000000000000000e+13	1.249000000000000000e+04	2.983729386010645265e-08	3.951321409999999901e+02
6.684300000000000182e+03	3.173000000000000000e+13	1.285000000000000000e+04	2.902304027468999958e-08	4.065336970000000179e+02
6.953899999999999636e+03	5.057000000000000000e+13	1.314000000000000000e+04	2.848676910235210107e-08	4.156892730000000142e+02
7.177899999999999636e+03	7.280000000000000000e+13	1.340000000000000000e+04	2.809602541371499907e-08	4.239202900000000227e+02
7.360000000000000000e+03	9.663000000000000000e+13	1.365000000000000000e+04	2.786135992394313099e-08	4.319318579999999770e+02
7.525899999999999636e+03	1.237000000000000000e+14	1.391000000000000000e+04	2.770886983588175330e-08	4.401019880000000057e+02
7.680199999999999818e+03	1.544000000000000000e+14	1.418000000000000000e+04	2.761485462065368685e-08	4.486213480000000118e+02
7.821899999999999636e+03	1.880000000000000000e+14	1.447000000000000000e+04	2.759945152815305360e-08	4.576994320000000016e+02
7.962000000000000000e+03	2.270000000000000000e+14	1.478000000000000000e+04	2.761446251364766798e-08	4.674969110000000114e+02
8.097100000000000364e+03	2.709000000000000000e+14	1.511000000000000000e+04	2.767085760639524535e-08	4.781340509999999995e+02
8.227700000000000728e+03	3.201000000000000000e+14	1.548000000000000000e+04	2.780050790819457283e-08	4.897974909999999795e+02
8.359500000000000000e+03	3.769000000000000000e+14	1.588000000000000000e+04	2.795708947506757250e-08	5.026250860000000102e+02
8.488200000000000728e+03	4.404000000000000000e+14	1.633000000000000000e+04	2.819057382134779179e-08	5.167985939999999800e+02
8.618500000000000000e+03	5.138000000000000000e+14	1.683000000000000000e+04	2.847517616109729722e-08	5.325124730000000000e+02
8.750200000000000728e+03	5.978000000000000000e+14	1.738000000000000000e+04	2.880586179861784302e-08	5.499194559999999683e+02
8.874799999999999272e+03	6.885000000000000000e+14	1.799000000000000000e+04	2.923453419297123505e-08	5.693753699999999753e+02
