temperature_K	electron_density_cm-3	gas_pressure_dyn_cm-2	mass_density_g_cm-3	column_mass_g_cm-2
1.988799999999999955e+03	4.220000000000000000e+05	4.132999999999999868e-02	3.192313666248548427e-13	1.209754709999999933e-03
2.007700000000000045e+03	5.556000000000000000e+05	5.428999999999999798e-02	4.154725525902010317e-13	1.635798240000000065e-03
2.025900000000000091e+03	7.260000000000000000e+05	7.058000000000000385e-02	5.354262170350444728e-13	2.199231339999999785e-03
2.043900000000000091e+03	9.390000000000000000e+05	9.093999999999999306e-02	6.839660987316237792e-13	2.873664409999999829e-03
2.061900000000000091e+03	1.208000000000000000e+06	1.165000000000000063e-01	8.687431508217404186e-13	3.734361260000000106e-03
2.082199999999999818e+03	1.584000000000000000e+06	1.499999999999999944e-01	1.107556698639051705e-12	4.801465900000000293e-03
2.102199999999999818e+03	2.059000000000000000e+06	1.938999999999999890e-01	1.418230672889960901e-12	6.173706880000000112e-03
2.122000000000000000e+03	2.676000000000000000e+06	2.499000000000000110e-01	1.811077293270051518e-12	7.987201700000000001e-03
2.140599999999999909e+03	3.436000000000000000e+06	3.205999999999999961e-01	2.304160445287032241e-12	1.020652239999999926e-02
2.159500000000000000e+03	4.419000000000000000e+06	4.096000000000000196e-01	2.919021269076886128e-12	1.297377979999999979e-02
2.177599999999999909e+03	5.645000000000000000e+06	5.220000000000000195e-01	3.691016001759170695e-12	1.651834890000000028e-02
2.195099999999999909e+03	7.166000000000000000e+06	6.621000000000000218e-01	4.647212101232732915e-12	2.090357719999999878e-02
2.212000000000000000e+03	9.040000000000000000e+06	8.356999999999999984e-01	5.825120271735446773e-12	2.634302369999999907e-02
2.227800000000000182e+03	1.132000000000000000e+07	1.048999999999999932e+00	7.266789126644720085e-12	3.302324809999999944e-02
2.243000000000000000e+03	1.409000000000000000e+07	1.310000000000000053e+00	9.022773780282211502e-12	4.121047709999999670e-02
